Algorithm, n, Time
BUBBLE SORT, 1000, 0.017119
SELECTION SORT, 1000, 0.004778
INSERTION SORT, 1000, 0.002636
QUICK SORT, 1000, 0.000147
MERGE SORT, 1000, 0.001673
BUBBLE SORT, 5000, 0.182070
SELECTION SORT, 5000, 0.060373
INSERTION SORT, 5000, 0.037623
QUICK SORT, 5000, 0.000511
MERGE SORT, 5000, 0.005111
BUBBLE SORT, 10000, 0.666243
SELECTION SORT, 10000, 0.237515
INSERTION SORT, 10000, 0.147354
QUICK SORT, 10000, 0.001066
MERGE SORT, 10000, 0.010678
BUBBLE SORT, 20000, 2.627806
SELECTION SORT, 20000, 0.949403
INSERTION SORT, 20000, 0.597540
QUICK SORT, 20000, 0.002294
MERGE SORT, 20000, 0.021318
BUBBLE SORT, 50000, 16.904024
SELECTION SORT, 50000, 5.936569
INSERTION SORT, 50000, 3.771417
QUICK SORT, 50000, 0.006567
MERGE SORT, 50000, 0.057579
